id,name,phone,assigned_area
1,Amy Friedman DDS,486.765.6844,base
2,Michelle Morgan,7697402670,tax
3,Daniel Wilson,001-778-904-5207x99164,development
4,Mr. Richard Burnett,2107636085,somebody
5,Brittany Frank,530-586-9270,in
6,Victor Mendoza,001-726-654-0148x2880,drug
7,James Heath,+1-779-355-2089x113,reduce
8,Derek Gray,209-699-0737,total
9,Kevin Park,(480)973-7395x369,tonight
10,Tiffany Sparks,(826)729-8102x4008,though
11,Austin Barnes,206-317-8456x2189,yeah
12,Courtney Hunter,664-235-2872x2915,full
13,Jermaine Nguyen,269.539.0060x8565,information
14,David Allen,(403)880-5348,husband
15,Patrick Harrison,694.610.9344x7968,rock
16,Cassandra Duncan,666.542.4396x1615,watch
17,Julie Perez,(456)299-0907x065,night
18,Mary Barron,+1-425-842-4934x4063,entire
19,Donna Jones,371.361.9119,network
20,Christopher Santos,5204313875,on
21,Hannah Martin,990-477-4764x6869,economy
22,Alison Irwin,(542)343-7325x15648,situation
23,Ashley Rivera,(471)594-8061x5540,data
24,Christopher Smith,883.373.3635x061,American
25,Wendy Willis,492.412.7498x03003,attorney
26,Brittney Haas,001-501-594-9870,politics
27,Wayne Davenport,+1-854-586-7089x9372,tonight
28,Heather Cook,879-379-3009,shoulder
29,Richard Hutchinson,+1-224-935-1224x48567,high
30,Jared Barber,845.917.3898,feel
31,Regina Gonzalez,398-673-8998,old
32,Erica Miles,701-289-2410x8451,conference
33,Brian Gonzalez,+1-225-248-5690x0800,general
34,Elizabeth Valenzuela,899.690.5520x49819,plan
35,Michael Ewing,401-506-7921,ball
36,Michael Brown,+1-378-436-0465x53330,kind
37,Hailey Tate,(698)246-0226x816,great
38,Cynthia Davies,+1-511-448-8461x70456,range
39,Whitney Evans,001-505-481-4613x927,allow
40,Virginia West,3562500533,inside
41,Brian Gonzalez,001-595-574-6242x12970,including
42,Robert Jones,345.782.5142,deal
43,Tara Gomez,395-814-1445,why
44,Jennifer Mcguire,(322)826-8406x265,enjoy
45,Valerie Bauer,793.531.9890,body
46,David Brown,6195166559,rock
47,Jeremiah Brown Jr.,943.451.2973,increase
48,Elizabeth Townsend,+1-848-789-0542,claim
49,Heather Lucas,516.642.8732x334,wind
50,Mark Schmidt,001-906-973-1214,table
51,Nicole Brown,(767)859-8046,teach
52,Melanie York,+1-954-730-2579x8153,leave
53,Adam Singh,001-633-346-4186x9117,church
54,Jonathan Castaneda,+1-308-432-0960,stop
55,William Jones,001-788-570-6831x760,success
56,Steven Harris,271.570.6213,ok
57,Jeffrey Daniels,840.323.8077,enough
58,Richard Lopez,001-886-436-4067x3184,eye
59,Raymond Arias,001-384-385-8998x109,will
60,Julie Steele,531-264-9580x968,human
